letters,correctButton,nBackLoop.thisRepN,nBackLoop.thisTrialN,nBackLoop.thisN,nBackLoop.thisIndex,key_resp_18.keys,key_resp_18.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_9.keys,key_resp_11.keys,key_resp_10.keys,key_resp_10.corr,key_resp_12.keys,key_resp_10.rt,participant,Gender,Handedness,frameRate,expName,date,
,,,,,,return,0.491701841354,,,,,,,,,,,,,,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
,,,,,,,,space,11.9681470394,,,,,,,,,,,,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
,,,,,,,,,,num_multiply,1.83847618103,,,,,,,,,,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
,,,,,,,,,,,,num_multiply,0.267380952835,,,,,,,,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
,,,,,,,,,,,,,,num_multiply,0.233940124512,,,,,,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
,,,,,,,,,,,,,,,,None,,,,,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
G,0,0,0,0,0,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
K,0,0,1,1,1,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
V,-1,0,2,2,2,,,,,,,,,,,,None,1,0,None,0.31122803688,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
K,1,0,3,3,3,,,,,,,,,,,,None,1,1,None,0.363877058029,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
V,1,0,4,4,4,,,,,,,,,,,,None,1,1,None,0.614743947983,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
A,-1,0,5,5,5,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
V,1,0,6,6,6,,,,,,,,,,,,None,1,1,None,0.497679948807,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
A,1,0,7,7,7,,,,,,,,,,,,None,1,1,None,0.882188081741,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
N,-1,0,8,8,8,,,,,,,,,,,,None,1,0,None,0.595890045166,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
A,1,0,9,9,9,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
E,-1,0,10,10,10,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
A,1,0,11,11,11,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
K,-1,0,12,12,12,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
A,1,0,13,13,13,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
K,1,0,14,14,14,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
A,1,0,15,15,15,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
Q,-1,0,16,16,16,,,,,,,,,,,,None,None,0,None,,100,female,Right,59.8268371099,Rosvold CPT,2015_Feb_10_1340,
