letters,correctButton,nBackLoop.thisRepN,nBackLoop.thisTrialN,nBackLoop.thisN,nBackLoop.thisIndex,key_resp_18.keys,key_resp_18.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_9.keys,key_resp_11.keys,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_12.keys,key_resp_14.keys,key_resp_14.rt,participant,Gender,Handedness,frameRate,expName,date,
,,,,,,space,2.19718909264,,,,,,,,,,,,,,,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
,,,,,,,,space,1.10307192802,,,,,,,,,,,,,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
,,,,,,,,,,num_multiply,0.334112167358,,,,,,,,,,,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
,,,,,,,,,,,,num_multiply,0.28427195549,,,,,,,,,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
,,,,,,,,,,,,,,num_multiply,0.300635099411,,,,,,,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
,,,,,,,,,,,,,,,,None,,,,,,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
J,0,0,0,0,0,,,,,,,,,,,,None,1,0,0.762984991074,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
K,0,0,1,1,1,,,,,,,,,,,,None,1,0,0.695934057236,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
V,-1,0,2,2,2,,,,,,,,,,,,None,1,0,0.796555995941,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
K,1,0,3,3,3,,,,,,,,,,,,None,1,1,0.948381900787,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
O,-1,0,4,4,4,,,,,,,,,,,,None,1,0,0.261690139771,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
K,1,0,5,5,5,,,,,,,,,,,,None,None,0,,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
O,1,0,6,6,6,,,,,,,,,,,,None,None,0,,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
M,-1,0,7,7,7,,,,,,,,,,,,None,None,0,,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
O,1,0,8,8,8,,,,,,,,,,,,None,None,0,,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
M,1,0,9,9,9,,,,,,,,,,,,None,None,0,,None,,,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
,,,,,,,,,,,,,,,,,,,,,,space,8.63142585754,100,female,Right,59.8286292192,Rosvold CPT,2015_Feb_10_1342,
